CustomerID,CustomerAltID,CustomerName,Gender,Aadhar_number
1,IMI001,rahul,m,12345
2,IMI002,surya,m,12346
3,IMI003,surya kant,m,12347
4,IMI004,abhilash,m,12348
5,IMI005,rachit,m,12349
6,IMI006,pulkit,m,12350
7,IMI007,shobit,m,12351
8,IMI008,pravin,m,12352
9,IMI009,rajat,m,12353
10,IMI010,mukati,m,12354
11,IMI011,kuhu,f,12355
12,IMI012,neerja,f,12356
13,IMI013,minnu,f,12357
14,IMI014,sonee,f,12358
15,IMI015,samrudhi,f,12359
16,IMI016,bhavna,f,12360
17,IMI017,shivangi,f,12361
18,IMI018,varchita,f,12362
19,IMI019,tanu,f,12363
20,IMI020,tanu,f,12364
21,IMI021,tanu,f,12365
22,IMI022,tanu,f,12366
23,IMI023,tanu,f,12367
24,IMI024,tanu,f,12368
25,IMI025,tanu,f,12369
26,IMI026,tanu,f,12370
27,IMI027,tanu,f,12371
28,IMI028,tanu,f,12372
29,IMI029,tanu,f,12373
30,IMI030,tanu,f,12374
31,IMI031,tanu,f,12375
32,IMI032,tanu,f,12376
33,IMI033,tanu,f,12377
34,IMI034,tanu,f,12378
35,IMI035,tanu,f,12379
36,IMI036,tanu,f,12380
37,IMI037,tanu,f,12381
38,IMI038,tanu,f,12382
39,IMI039,tanu,f,12383
40,IMI040,tanu,f,12384
41,IMI041,tanu,f,12385
42,IMI042,tanu,f,12386
43,IMI043,tanu,f,12387
44,IMI044,tanu,f,12388
45,IMI045,tanu,f,12389
46,IMI046,tanu,f,12390
47,IMI047,tanu,f,12391
48,IMI048,tanu,f,12392
49,IMI049,tanu,f,12393
50,IMI050,tanu,f,12394
51,IMI051,tanu,f,12395
52,IMI052,tanu,f,12396
53,IMI053,tanu,f,12397
54,IMI054,tanu,f,12398
55,IMI055,tanu,f,12399
56,IMI056,tanu,f,12400
57,IMI057,tanu,f,12401
58,IMI058,tanu,f,12402
59,IMI059,tanu,f,12403
60,IMI060,tanu,f,12404
61,IMI061,tanu,f,12405
62,IMI062,tanu,f,12406
63,IMI063,tanu,f,12407
64,IMI064,tanu,f,12408
65,IMI065,tanu,f,12409
66,IMI066,tanu,f,12410
67,IMI067,tanu,f,12411
68,IMI068,tanu,f,12412
69,IMI069,tanu,f,12413
70,IMI070,tanu,f,12414
71,IMI071,tanu,f,12415
72,IMI072,tanu,f,12416
73,IMI073,tanu,f,12417
74,IMI074,tanu,f,12418
75,IMI075,tanu,f,12419
76,IMI076,tanu,f,12420
77,IMI077,tanu,f,12421
78,IMI078,tanu,f,12422
79,IMI079,tanu,f,12423
80,IMI080,tanu,f,12424
81,IMI081,tanu,f,12425
82,IMI082,tanu,f,12426
83,IMI083,tanu,f,12427
84,IMI084,tanu,f,12428
85,IMI085,tanu,f,12429
86,IMI086,tanu,f,12430
87,IMI087,tanu,f,12431
88,IMI088,tanu,f,12432
89,IMI089,tanu,f,12433
90,IMI090,tanu,f,12434
91,IMI091,tanu,f,12435
92,IMI092,tanu,f,12436
93,IMI093,tanu,f,12437
94,IMI094,tanu,f,12438
95,IMI095,tanu,f,12439
96,IMI096,tanu,f,12440
97,IMI097,tanu,f,12441
98,IMI098,tanu,f,12442
99,IMI099,tanu,f,12443
